Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id,gene_name,kegg_orthology,kegg_pathway,kegg_module,kegg_enzyme,kegg_description
BHE81_RS15645,12.783995990868531,-3.7598374340497607,1.0586943893944498,-3.551390724003275,0.0003832010806888,0.004021704874195,,,,,,,
BHE81_RS15650,12.681289536444426,-4.298692235916019,0.93767644383569,-4.584408901573392,4.552725228420448e-06,8.652228711128769e-05,,,,,,,
BHE81_RS15655,22.43956711162528,-4.01174407614965,0.685021192302859,-5.856379512381558,4.730665072971589e-09,1.791243283026962e-07,,,,,,,
BHE81_RS15660,20.468941088326904,-3.248829721254824,0.5557148774416968,-5.8462169237059465,5.028781853946284e-09,1.8290026415344289e-07,,,,,,,
BHE81_RS15665,7.886571238744043,-2.401912650127864,0.9125072125858956,-2.632212235694267,0.008483085185562,0.0494338900523289,,,,,,,
BHE81_RS15760,16.83656818638949,-2.9402430997608,0.7159149175021049,-4.106972809030977,4.008783998166641e-05,0.0005997047632373,,,,,,,
BHE81_RS15830,33.12481027170904,-1.3203181231851049,0.4355022665401091,-3.0317135515149043,0.0024316984430516,0.0185857531362952,,,,,,,
BHE81_RS15835,153.9757174556748,-1.5967439662237857,0.5522406652834214,-2.8913915012113485,0.0038354000069999,0.0265706939729605,,,,,,,
BHE81_RS15845,97.96938429194884,-3.0945858902545686,0.7680458334602605,-4.029168254598292,5.597454614013182e-05,0.0007951401015663,,,,,,,
BHE81_RS15850,31.396835794688965,-3.756870350299649,0.6591800158066258,-5.699308626191344,1.2029427795250286e-08,4.126191533996826e-07,,,,,,,
BHE81_RS15855,63.53799296485193,-2.404030735017485,0.7383373428797905,-3.256005887012122,0.0011299140870182,0.0099522077935911,,,,,,,
BHE81_RS15860,98.70108494155,-1.2868455700321089,0.4243247437299081,-3.0326903840687027,0.0024238414824824,0.0185593234384633,,,,,,,
BHE81_RS15865,44.684284419245245,2.2847156097879604,0.4619517581938124,4.94578831937123,7.58363333195778e-07,1.7201800552435415e-05,,,,,,,
BHE81_RS15945,41.58824910988969,-1.493175382816893,0.4248462321929275,-3.514625456625976,0.0004403746072591,0.0045039799352295,,,,,,,
BHE81_RS15955,76.0066871000087,-1.4092817318724915,0.3916120371596498,-3.598668064684552,0.00031985112163,0.0034690279746967,,,,,,,
BHE81_RS15975,20.838760903080093,-2.4249162795214905,0.6033312590363041,-4.019212071648316,5.839309376772932e-05,0.0008184732976945,,,,,,,
BHE81_RS16070,8.624780791673789,-2.747989204477764,0.933615248655921,-2.943385091914368,0.0032464431528359,0.0231755391908881,,,,,,,
BHE81_RS16080,48.39017807699842,-3.051790116529967,0.4409803512118566,-6.920467336341297,4.501561080506012e-12,2.601655643651351e-10,,,,,,,
BHE81_RS16100,35.85879144346651,1.3016563593938837,0.4391774726083972,2.963850471798984,0.003038158767512,0.022176456470819,,,,,,,
BHE81_RS16145,27.50721313300882,-4.852824930105659,0.6688357277796557,-7.255630536089417,3.9979499770873133e-13,2.9081639574709267e-11,,,,,,,
BHE81_RS16150,38.80862852959896,-4.84640474815564,0.5920948068260169,-8.185183677146696,2.7188864187756953e-16,3.277423371661331e-14,,,,,,,
BHE81_RS16330,85.699969959285,1.2398443674446065,0.46547107009454,2.6636335684466634,0.0077301716456087,0.0461948925960669,,,,,,,
BHE81_RS16335,84.34455468485184,1.70026281310301,0.3387981973765267,5.018511982262426,5.207324604957327e-07,1.2325133094991864e-05,,,,,,,
BHE81_RS16360,169.5623675578003,2.0411219059417216,0.5309403533483702,3.844352558756188,0.0001208711302808,0.0015500161053337,,,,,,,
BHE81_RS16365,135.13576849563202,2.918165172063932,0.6675420315939006,4.3715077612359226,1.2339146323817309e-05,0.0002082354333607,,,,,,,
BHE81_RS16535,292.50480718984915,1.7296965406498084,0.5187675961571724,3.3342416786682985,0.0008553230603736,0.0078618910494907,,,,,,,
BHE81_RS16540,498.49925041746747,1.8216061038088869,0.5006763828685449,3.63829045295144,0.0002744538022829,0.0030551994507431,,,,,,,
BHE81_RS16575,14.128922777191717,2.7881918324686024,0.867044693628613,3.215741763899067,0.0013010785160303,0.0112025515492494,,,,,,,
BHE81_RS16580,20.61979398561356,2.6132751493595885,0.6123064093808741,4.267920618374661,1.9730350857571555e-05,0.0003201628856465,,,,,,,
BHE81_RS16630,12.302447315068529,2.213226399149661,0.7487549845132309,2.9558753463103686,0.0031178307236996,0.022601594198091,,,,,,,
BHE81_RS16645,53.38848325168692,1.0511993411816,0.3672355490988409,2.8624661848808954,0.0042035811318339,0.0286046916051734,,,,,,,
BHE81_RS16660,30.05666054185613,2.007261699264069,0.6267417601005084,3.202693401094212,0.001361488465544,0.011627772947632,,,,,,,
BHE81_RS16665,47.48169747446596,2.8470706680347817,0.5186878886906209,5.488986209456223,4.042471802448791e-08,1.2988541490965308e-06,,,,,,,
BHE81_RS16670,55.46618798948771,1.3187529921898296,0.4371470730750238,3.0167261167124484,0.0025552056526815,0.0191822289122124,,,,,,,
BHE81_RS16700,61.7672790395336,2.047532137251449,0.458728504863371,4.4634944537865415,8.06336865220002e-06,0.000142340386375,,,,,,,
BHE81_RS16705,6.683834552565,4.479731056035699,1.699756971580598,2.635512682657223,0.0084010286230029,0.0492961610020158,,,,,,,
BHE81_RS17095,32.91962865020703,-1.2806291789860154,0.4193646297104235,-3.053736744251192,0.0022601031497686,0.0174640571224798,,,,,,,
BHE81_RS17115,81.172950438449,2.3317115408442857,0.365857676210396,6.373274889286112,1.8503379628001015e-10,8.296580993637069e-09,,,,,,,
BHE81_RS17130,68.41517071909506,-6.520099616031177,0.7229268453609817,-9.019030982001327,1.8976033366413445e-19,2.965180917514753e-17,,,,,,,
BHE81_RS17135,7.562586239883412,-4.166339097729213,1.2875981552461857,-3.235744848463704,0.0012132578126293,0.0106197815590942,,,,,,,
BHE81_RS17140,41.667330277728446,-2.239570652706268,0.4423432531923995,-5.062970072547157,4.127746715717881e-07,1.0244096113890434e-05,,,,,,,
BHE81_RS17155,86.85057853872384,-1.0830678259248108,0.3226032102082105,-3.357275413427508,0.0007871466231255,0.007343930422515,,,,,,,
BHE81_RS17265,53.3687439252509,-2.063686806958141,0.3795838101142426,-5.436709237775545,5.427359649277061e-08,1.6473403136906418e-06,,,,,,,
BHE81_RS17270,12.609102357884828,-2.539468071391558,0.7863368721749531,-3.2294912794405346,0.001240106633248,0.0108323186038787,,,,,,,
BHE81_RS17290,78.90714236402637,1.2255982669105816,0.3835617620497057,3.1953087825051667,0.0013968130859229,0.0118813596965902,,,,,,,
BHE81_RS17310,252.22442984300423,-1.6373349596656055,0.286040029756434,-5.724146235964991,1.0395517942780932e-08,3.594974606605963e-07,,,,,,,
BHE81_RS17330,775.4549886790049,-3.2395646114190733,0.3084030378066975,-10.504321340211913,8.251415822832493e-26,2.677901796656176e-23,,,,,,,
BHE81_RS17335,28.844310160250927,-2.356061747739999,0.5874972067075656,-4.01033693580225,6.063216248514302e-05,0.0008414707023842,,,,,,,
BHE81_RS17390,43.3002076916768,-1.3417009900064547,0.4357750105015662,-3.0788846484386294,0.0020777711441387,0.016233548994669,,,,,,,
BHE81_RS17510,11.588100063504555,2.504847962693824,0.795340136637143,3.149404697825036,0.001636034602898,0.0134550292195457,,,,,,,
BHE81_RS17635,24.596766040835615,-2.972825587175485,0.7673959835632981,-3.87391340435687,0.0001071014827934,0.0013989509470757,,,,,,,
BHE81_RS17640,7.607505084436439,-2.08866971669698,0.7776674196697048,-2.6858135802887197,0.0072353445083513,0.0436708418894627,,,,,,,
BHE81_RS17645,5.853258274454633,-3.2956154406979143,1.021349592066175,-3.226726153609102,0.0012521523618872,0.0108924346696951,,,,,,,
BHE81_RS17650,4.380294923017465,-5.386843473420292,1.72147472510732,-3.1292027671707263,0.0017528130722099,0.014075638087322,,,,,,,
BHE81_RS17655,14.94461662494716,-2.7365016786792995,0.639750181823476,-4.27745353800364,1.89043398147647e-05,0.0003115523815566,,,,,,,
BHE81_RS17660,11.159046700553018,-2.525479956210549,0.754747487021015,-3.346125690565208,0.0008194923940138,0.0075984688094469,,,,,,,
BHE81_RS17690,126.66632747713102,-1.5108548613179786,0.3401415496217709,-4.441841530380549,8.919223934540149e-06,0.0001561419326963,,,,,,,
BHE81_RS17695,48.70504600483459,-1.4382721648584682,0.476521256297667,-3.0182749370576394,0.0025421815252294,0.0191526140266837,,,,,,,
BHE81_RS17785,40.00485732906883,2.3272014260177345,0.433347827602391,5.370285202290223,7.861221725159067e-08,2.3356686238342323e-06,,,,,,,
BHE81_RS17805,99.28676212506784,-1.34252407469131,0.3298070231972813,-4.070635190470913,4.688512286667085e-05,0.0006774257992276,,,,,,,
BHE81_RS17835,35.19915964664893,-1.2799094125640178,0.4775447622758906,-2.680187311581441,0.0073580973450551,0.0442219554113786,,,,,,,
BHE81_RS17995,26.515111053452227,2.7987778911425,0.6123550715850868,4.570514756900497,4.865276586108929e-06,9.163661569997127e-05,,,,,,,
BHE81_RS18090,28.18631311793422,-3.5902777319713355,0.676881603233749,-5.304144350827477,1.132027103174543e-07,3.2489947947574123e-06,,,,,,,
BHE81_RS18100,72.61163740357911,-1.2849506299577471,0.4192760391022217,-3.064688916421645,0.0021789651066678,0.0169301174678295,,,,,,,
BHE81_RS18105,33.60627993296841,-1.3404592849159065,0.4815523657059468,-2.783621014821136,0.0053755804994874,0.0346782479011277,,,,,,,
BHE81_RS18195,52.09451971232449,-2.355063990661361,0.582109758998875,-4.045738718951648,5.215838301517666e-05,0.000745953281156,,,,,,,
BHE81_RS18305,117.9089205244119,2.145517571468461,0.3423330104332348,6.267340589659264,3.6726628110601455e-10,1.581118816312526e-08,,,,,,,
BHE81_RS18330,19.291708076448217,-1.496493212764351,0.4851769055646527,-3.0844279593702435,0.0020394399520139,0.015993303266816,,,,,,,
BHE81_RS18465,176.97569640349397,-1.8038583857992936,0.3796469427139328,-4.7514102784663175,2.0200278870339256e-06,4.282662138390016e-05,,,,,,,
