Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
BHE81_RS05355,4.303058764892435,1.2818722499425996,1.1220485543306113,1.1424391974795918,0.25327150602636017,0.5202300311223046
BHE81_RS05360,57.53166091171056,-0.2894330417032529,0.5018301408460977,-0.5767549976477337,0.5641049739661198,0.7810070330701414
BHE81_RS28605,2.6930447862819804,-2.1231816146883515,1.2854966688683216,-1.6516430311386807,0.09860734241045475,
BHE81_RS05365,15.060534232196014,-1.3971314449747574,0.5617846960176528,-2.4869517715214795,0.012884286437700366,0.06907090785344072
BHE81_RS05370,9.233497154729376,-1.6027822684547113,0.8750704414412162,-1.8316037115994621,0.06701048344524449,0.22494438035539663
BHE81_RS05375,15.66240695812566,-0.2271058647765206,0.6856661631605848,-0.33121929734679323,0.7404788449484512,0.8864657488268828
BHE81_RS05380,13.611959588725886,-2.9938053703709406,0.6575086865710094,-4.5532559972462305,5.282193012671016e-06,9.860872708167705e-05
BHE81_RS05385,12.5917519020989,-2.254451720709262,0.7093851398028533,-3.1780362939880606,0.0014827618857314274,0.012536618027857499
BHE81_RS05390,10.927193112869029,-1.6916942327160809,0.732015725408684,-2.311008048046521,0.020832410361371345,0.09744117440645866
BHE81_RS05395,16.75219336457655,-2.199102540339191,0.5818523897463258,-3.779485276837909,0.0001571528849025822,0.0019558348713982136
BHE81_RS05400,7.840857410046272,-3.7912771027179852,0.942172226462113,-4.02397459427811,5.7224093057282996e-05,0.0008074530053801905
BHE81_RS05405,41.74513586467335,-2.248895237765994,0.5822439287722236,-3.8624623231507695,0.00011224988127627494,0.001461673608347543
BHE81_RS05410,47.504031480420565,1.0667504090072508,0.46525390970436836,2.292834916067842,0.021857510993392334,0.10034476483255958
BHE81_RS05415,21.19788956805702,0.1898656283331717,0.5571628151719362,0.34077225393187915,0.7332750397212515,0.8829037741568728
BHE81_RS05420,21.657482261589106,0.39527589889361825,0.5854955081673335,0.6751134609569868,0.49960368205845695,0.7372605577490836
BHE81_RS05425,107.39707658505404,0.5418624982542808,0.4356883279560913,1.2436929416867228,0.21361259474118022,0.4701023935850578
BHE81_RS05430,1.7322909630773655,-1.0695303272386993,1.687936702562625,-0.6336317739965833,0.5263211596271906,
BHE81_RS05435,2.267785677438383,-1.1244412126049261,1.2963204806030777,-0.8674098954926721,0.38571746188069544,
BHE81_RS05440,19.163536638889557,-2.0368917249562175,0.8979466114322406,-2.2683884531924896,0.02330554092711214,0.10584077198222401
BHE81_RS05445,36.05761024863365,0.8599955084378786,0.5060246909606324,1.6995129364246464,0.08922257921299859,0.2732528078773675
BHE81_RS05450,32.645954361900266,-0.8343311508990559,0.49096452754903835,-1.6993715514726702,0.08924919868571045,0.2732528078773675
BHE81_RS05455,70.70987033969806,0.207744964465908,0.420584840459772,0.4939430632801858,0.6213463906699634,0.821681503942482
BHE81_RS05460,50.5311876771302,0.5324781716390403,0.42848875331448394,1.2426887929266948,0.2139825353073017,0.4704493571972412
BHE81_RS05465,1.152279951183115,2.9810472495917324,2.591052725563127,1.1505158579680568,0.24993146656282073,
BHE81_RS05470,3.740906176692644,0.9889531474856146,1.2881164237231002,0.7677513687987918,0.44263491142404454,
BHE81_RS05475,12.28807858744,0.27596781230620865,0.7196442175696014,0.383478120950118,0.7013652896218986,0.8670125660399766
BHE81_RS28075,0.0,,,,,
BHE81_RS05480,0.0,,,,,
